REGION,Day,DOW,LD,LM,HH,SBUS
65,2,mon,1.061478,0.941825,0.849043,1
65,3,tuth,1,1,1,1
65,6,fri,1.252833,1.044015,0.900497,1
65,7,sat,1.099528,0.734327,0.535185,0
65,8,holi,0.986415,0.910658,0.837218,0
66,1,sun,0.893673,0.488924,0.38298,0
66,2,mon,0.974134,0.941275,0.887064,1
66,3,tuth,1,1,1,1
66,6,fri,1.08452,1.028473,0.977131,1
66,7,sat,1.010703,0.628996,0.490992,0
66,8,holi,0.932658,0.847843,0.843612,0
67,1,sun,0.893673,0.488924,0.38298,0
67,2,mon,0.974134,0.941275,0.887064,1
67,3,tuth,1,1,1,1
67,6,fri,1.08452,1.028473,0.977131,1
67,7,sat,1.010703,0.628996,0.490992,0
67,8,holi,0.932658,0.847843,0.843612,0
68,1,sun,0.858085,0.489472,0.398032,0
68,2,mon,0.972675,0.935751,0.878334,1
68,3,tuth,1,1,1,1
68,6,fri,1.047334,1.004693,0.917539,1
68,7,sat,0.979063,0.640535,0.509276,0
68,8,holi,0.863476,0.807665,0.801106,0
69,1,sun,1.862991,1.147062,0.723718,0
69,2,mon,1.227681,1.103890,0.810629,1
69,3,tuth,1,1,1,1
69,6,fri,1.527117,1.179158,0.917493,1
69,7,sat,1.435850,0.890707,0.789477,0
69,8,holi,1.201370,1.032207,0.691916,0
