CO,CO,CO,1,28,1
227,TOG,ALK4,1.6640E-02,1,1.0000000
228,TOG,ALK3,9.7913E-03,1,1.0000000
230,TOG,ALK4,1.1604E-02,1,1.0000000
271,TOG,ALK3,7.6110E-03,1,1.0000000
274,TOG,ALK5,8.4856E-03,1,0.8331999
274,TOG,ALK4,1.6995E-03,1,0.1668000
280,TOG,ACET,1.1863E-02,1,0.6890000
280,TOG,BENZ,2.8677E-03,1,0.2240000
280,TOG,TOLU,9.4424E-04,1,0.0870000
289,TOG,ALK5,1.3491E-02,1,1.0000000
290,TOG,ALK5,1.1096E-02,1,1.0000000
297,TOG,ALK4,4.4605E-03,1,0.3496908
297,TOG,ALK3,5.3293E-03,1,0.3147619
297,TOG,ALK5,2.1198E-04,1,0.0215476
297,TOG,CH4,5.4856E-03,1,0.0880000
297,TOG,ALK1,8.9793E-04,1,0.0270000
297,TOG,ALK2,3.6511E-03,1,0.1610000
297,TOG,BENZ,3.0725E-04,1,0.0240000
297,TOG,TOLU,1.5195E-04,1,0.0140000
298,TOG,BENZ,1.2802E-02,1,1.0000000
299,TOG,ALK5,1.1882E-02,1,1.0000000
301,TOG,ALK4,9.9798E-03,1,1.0000000
303,TOG,ALK4,1.3860E-02,1,1.0000000
304,TOG,ETOH,5.4268E-03,1,0.2500000
304,TOG,ALK4,4.1601E-03,1,0.2500000
304,TOG,ALK2,2.8375E-03,1,0.2500000
304,TOG,MEK,3.4671E-03,1,0.2500000
306,TOG,ALK4,8.7841E-04,1,0.0853000
306,TOG,BENZ,3.9046E-04,1,0.0305000
306,TOG,TOLU,4.9491E-04,1,0.0456000
306,TOG,NROG,8.3860E-01,1,0.8386000
307,TOG,OLE2,1.4793E-04,1,0.0083000
307,TOG,OLE1,6.3706E-04,1,0.0334000
307,TOG,ALK4,3.7423E-05,1,0.0027000
307,TOG,CH4,1.1046E-02,1,0.1772000
307,TOG,ALK1,6.2855E-03,1,0.1890000
307,TOG,ETHE,1.2295E-02,1,0.3449000
307,TOG,ALK2,1.4287E-04,1,0.0063000
307,TOG,PRPE,1.6849E-03,1,0.0709000
307,TOG,ACYE,5.8225E-03,1,0.1516000
307,TOG,ALK3,1.0839E-04,1,0.0063000
307,TOG,BDE13,1.7378E-04,1,0.0094000
316,TOG,ALK4,2.8962E-03,1,0.2224822
316,TOG,ALK3,4.4647E-03,1,0.2609286
316,TOG,ALK5,4.0486E-04,1,0.0485893
316,TOG,CH4,1.7828E-02,1,0.2860000
316,TOG,ALK1,1.9289E-03,1,0.0580000
316,TOG,ALK2,2.6079E-03,1,0.1150000
316,TOG,PRPE,2.3764E-05,1,0.0010000
316,TOG,OXYL,4.7097E-06,1,0.0005000
316,TOG,MXYL,4.7097E-06,1,0.0005000
316,TOG,PXYL,4.7097E-06,1,0.0005000
