0,CO,CO
0,NH3,NH3
30102005,311,PM
30102005,72,TOG
30102015,311,PM
30102015,72,TOG
30102018,90016,PM
30102018,1403,TOG
30102050,311,PM
30102050,72,TOG
30102053,90002,PM
30102053,72,TOG
30102070,311,PM
30102070,783,TOG
30102099,311,PM
30102099,72,TOG
30102106,2204,PM
30102106,600,TOG
30102108,311,PM
30102108,600,TOG
30102110,311,PM
30102110,600,TOG
30102111,311,PM
30102111,600,TOG
30102113,311,PM
30102113,600,TOG
30102114,311,PM
30102114,600,TOG
30102122,2204,PM
30102122,600,TOG
30102127,311,PM
30102127,1404,TOG
30102199,311,PM
30102199,1404,TOG
30102201,311,PM
30102201,1404,TOG
30102301,311,PM
30102301,1404,TOG
30102304,311,PM
30102304,1404,TOG
30102306,311,PM
30102306,1404,TOG
30102308,311,PM
30102308,1404,TOG
30102312,311,PM
30102312,1404,TOG
30102314,311,PM
30102314,1404,TOG
30102320,90002,PM
30102320,1404,TOG
30102321,90002,PM
30102321,1404,TOG
30102322,311,PM
30102322,1404,TOG
30102323,2204,PM
30102323,600,TOG
30102330,2204,PM
30102330,600,TOG
30102399,311,PM
30102399,1404,TOG
30102401,311,PM
30102401,600,TOG
30102402,311,PM
30102402,600,TOG
30102412,2204,PM
30102412,600,TOG
30102414,311,PM
30102414,1406,TOG
30102423,311,PM
30102423,1406,TOG
30102424,311,PM
30102424,1406,TOG
30102426,311,PM
30102426,1406,TOG
30102499,311,PM
30102499,1406,TOG
30102601,311,PM
30102601,784,TOG
30102608,311,PM
30102608,558,TOG
30102611,311,PM
30102611,784,TOG
30102620,311,PM
30102620,274,TOG
30102699,311,PM
30102699,274,TOG
30102701,311,PM
30102701,1404,TOG
30102702,311,PM
30102702,600,TOG
30102703,311,PM
30102703,600,TOG
30102704,311,PM
30102704,1404,TOG
30102705,311,PM
30102705,1404,TOG
30102706,311,PM
30102706,1404,TOG
30102707,2204,PM
30102707,600,TOG
30102708,311,PM
30102708,1404,TOG
30102709,311,PM
30102709,1404,TOG
30102710,311,PM
30102710,1404,TOG
30102711,311,PM
30102711,1404,TOG
30102712,311,PM
30102712,1404,TOG
30102713,311,PM
30102713,1404,TOG
30102722,311,PM
30102722,1404,TOG
30102723,311,PM
30102723,1404,TOG
30102724,311,PM
30102724,1404,TOG
30102725,311,PM
30102725,600,TOG
30102728,311,PM
30102728,1404,TOG
30102801,311,PM
30102801,1404,TOG
30102802,311,PM
30102802,600,TOG
30102820,311,PM
30102820,1404,TOG
30102821,311,PM
30102821,1404,TOG
30102823,311,PM
30102823,1404,TOG
30102901,311,PM
30102901,600,TOG
30102902,311,PM
30102902,600,TOG
30102905,311,PM
30102905,1404,TOG
30102906,311,PM
30102906,1404,TOG
30102908,311,PM
30102908,1404,TOG
30103001,311,PM
30103001,1404,TOG
30103002,311,PM
30103002,1404,TOG
30103004,311,PM
30103004,1404,TOG
30103020,311,PM
30103020,1404,TOG
30103023,311,PM
30103023,1404,TOG
30103025,311,PM
30103025,1404,TOG
30103099,311,PM
30103099,1404,TOG
30103101,311,PM
30103101,600,TOG
30103201,311,PM
30103201,1404,TOG
30103202,311,PM
30103202,1404,TOG
30103203,311,PM
30103203,1404,TOG
30103204,311,PM
30103204,1404,TOG
30103205,311,PM
30103205,1404,TOG
30103299,311,PM
30103299,1404,TOG
30103301,311,PM
30103301,1000,TOG
30103311,90002,PM
30103311,1000,TOG
30103312,90002,PM
30103312,1000,TOG
30103399,311,PM
30103399,1000,TOG
30103401,311,PM
30103401,600,TOG
30103404,311,PM
30103404,1404,TOG
30103499,311,PM
30103499,1404,TOG
30103501,311,PM
30103501,1404,TOG
30103503,311,PM
30103503,1404,TOG
30103599,311,PM
30103599,1404,TOG
30103601,311,PM
30103601,600,TOG
30103701,311,PM
30103701,600,TOG
30103801,311,PM
30103801,1404,TOG
30104001,312,PM
30104001,1404,TOG
30104002,312,PM
30104002,1404,TOG
30104003,312,PM
30104003,1404,TOG
30104006,312,PM
30104006,1404,TOG
30104007,312,PM
30104007,1404,TOG
30104012,312,PM
30104012,1404,TOG
30104020,312,PM
30104020,1404,TOG
30104199,311,PM
30104199,1404,TOG
30104202,311,PM
30104202,1404,TOG
30104501,311,PM
30104501,1404,TOG
30105001,311,PM
30105001,714,TOG
30105105,311,PM
30105105,714,TOG
30106001,311,PM
30106001,1404,TOG
30106002,311,PM
30106002,1404,TOG
30106003,311,PM
30106003,1404,TOG
30106004,311,PM
30106004,1404,TOG
30106005,311,PM
30106005,1404,TOG
30106007,311,PM
30106007,1404,TOG
30106008,90002,PM
30106008,1404,TOG
30106009,90002,PM
30106009,1404,TOG
30106010,311,PM
30106010,1404,TOG
30106011,2203,PM
30106011,1404,TOG
30106012,90002,PM
30106012,1404,TOG
30106013,311,PM
30106013,1404,TOG
30106015,311,PM
30106015,219,TOG
30106017,90002,PM
30106017,1404,TOG
30106021,311,PM
30106021,1404,TOG
30106022,90002,PM
30106022,1404,TOG
30106023,90002,PM
30106023,1404,TOG
30106032,90002,PM
30106032,1404,TOG
30106034,90002,PM
30106034,1404,TOG
30106099,311,PM
30106099,1404,TOG
30106402,90002,PM
30106402,1404,TOG
30107001,311,PM
30107001,1404,TOG
30107002,311,PM
30107002,1404,TOG
30107101,311,PM
30107101,1404,TOG
30107103,324,PM
30107103,600,TOG
30109101,311,PM
30109101,219,TOG
30109105,90002,PM
30109105,221,TOG
30109110,90002,PM
30109110,778,TOG
30109199,311,PM
30109199,1440,TOG
30110001,311,PM
30110001,600,TOG
30110099,311,PM
30110099,1404,TOG
30111001,311,PM
30111001,600,TOG
30111199,311,PM
30111199,1411,TOG
30111301,311,PM
30111301,1404,TOG
30111401,311,PM
30111401,1404,TOG
30112001,311,PM
30112001,797,TOG
30112002,311,PM
30112002,600,TOG
30112007,311,PM
30112007,797,TOG
30112031,311,PM
30112031,600,TOG
30112037,311,PM
30112037,600,TOG
30112501,311,PM
30112501,553,TOG
30112502,311,PM
30112502,553,TOG
30112505,90002,PM
30112505,600,TOG
30112509,90002,PM
30112509,553,TOG
30112514,311,PM
30112514,600,TOG
30112520,311,PM
30112520,85,TOG
30112521,311,PM
30112521,85,TOG
30112522,311,PM
30112522,85,TOG
30112524,311,PM
30112524,85,TOG
30112525,311,PM
30112525,87,TOG
